Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","111,752,442.82","0.09","111,752,442.82","775,963.00","144.02","Canada","Toronto Stock Exchange","CAD"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","111,740,787.65","0.09","111,740,787.65","422,221.00","264.65","United States","New York Stock Exchange Inc.","USD"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","111,000,736.14","0.09","111,000,736.14","26,438.00","4,198.53","United States","New York Stock Exchange Inc.","USD"
"BARC","BARCLAYS PLC","Financials","Equity","110,977,371.58","0.09","110,977,371.58","22,299,249.00","4.98","United Kingdom","London Stock Exchange","GBP"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","110,749,904.79","0.09","110,749,904.79","1,036,111.00","106.89","United States","New York Stock Exchange Inc.","USD"
"INGA","ING GROEP NV","Financials","Equity","110,298,733.32","0.09","110,298,733.32","4,590,780.00","24.03","Netherlands","Euronext Amsterdam","EUR"
"6861","KEYENCE CORP","Information Technology","Equity","110,169,980.51","0.09","110,169,980.51","284,804.00","386.83","Japan","Tokyo Stock Exchange","JPY"
"AON","AON PLC CLASS A","Financials","Equity","110,102,569.00","0.09","110,102,569.00","300,007.00","367.00","United States","New York Stock Exchange Inc.","USD"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","109,865,421.60","0.09","109,865,421.60","344,784.00","318.65","United States","New York Stock Exchange Inc.","USD"
"EOG","EOG RESOURCES INC","Energy","Equity","108,311,806.08","0.09","108,311,806.08","867,744.00","124.82","United States","New York Stock Exchange Inc.","USD"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","107,967,412.22","0.09","107,967,412.22","1,028,668.00","104.96","Germany","Xetra","EUR"
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrials","Equity","107,354,405.19","0.09","107,354,405.19","1,410,970.00","76.09","Canada","Toronto Stock Exchange","CAD"
"RBLX","ROBLOX CORP CLASS A","Communication","Equity","107,329,052.22","0.09","107,329,052.22","861,458.00","124.59","United States","New York Stock Exchange Inc.","USD"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","107,065,278.16","0.09","107,065,278.16","4,411,942.00","24.27","United Kingdom","London Stock Exchange","GBP"
"SE","SEA ADS REPRESENTING LTD CLASS A","Communication","Equity","106,792,844.22","0.09","106,792,844.22","572,493.00","186.54","Singapore","New York Stock Exchange Inc.","USD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","106,750,506.51","0.09","106,750,506.51","1,383,460.00","77.16","Canada","Toronto Stock Exchange","CAD"
"ECL","ECOLAB INC","Materials","Equity","106,739,633.44","0.09","106,739,633.44","385,286.00","277.04","United States","New York Stock Exchange Inc.","USD"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","106,248,619.60","0.09","106,248,619.60","679,339.00","156.40","United States","New York Stock Exchange Inc.","USD"
"RIO","RIO TINTO PLC","Materials","Equity","105,096,401.20","0.09","105,096,401.20","1,685,275.00","62.36","United Kingdom","London Stock Exchange","GBP"
"WMB","WILLIAMS INC","Energy","Equity","104,863,626.96","0.09","104,863,626.96","1,811,742.00","57.88","United States","New York Stock Exchange Inc.","USD"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","104,417,591.98","0.09","104,417,591.98","1,487,642.00","70.19","United States","NASDAQ","USD"
"DG","VINCI SA","Industrials","Equity","104,306,648.58","0.09","104,306,648.58","771,446.00","135.21","France","Nyse Euronext - Euronext Paris","EUR"
"8001","ITOCHU CORP","Industrials","Equity","103,852,294.97","0.09","103,852,294.97","1,838,102.00","56.50","Japan","Tokyo Stock Exchange","JPY"
"VST","VISTRA CORP","Utilities","Equity","101,981,917.03","0.09","101,981,917.03","539,273.00","189.11","United States","New York Stock Exchange Inc.","USD"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","101,709,613.98","0.09","101,709,613.98","368,433.00","276.06","United States","New York Stock Exchange Inc.","USD"
"ADSK","AUTODESK INC","Information Technology","Equity","101,002,335.60","0.08","101,002,335.60","320,948.00","314.70","United States","NASDAQ","USD"
