Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"5347","VANGUARD INTERNATIONAL SEMICONDUCT","Information Technology","Equity","8,119,555.00","0.03","8,119,555.00","2,732,721.00","2.97","Taiwan","Gretai Securities Market","TWD"
"5110","SAUDI ELECTRICITY","Utilities","Equity","8,108,290.81","0.03","8,108,290.81","2,088,344.00","3.88","Saudi Arabia","Saudi Stock Exchange","SAR"
"MIL","BANK MILLENNIUM SA","Financials","Equity","8,097,978.32","0.03","8,097,978.32","2,096,765.00","3.86","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"BLUESTARCO","BLUE STAR LTD","Industrials","Equity","8,099,047.84","0.03","8,099,047.84","366,651.00","22.09","India","National Stock Exchange Of India","INR"
"6862","HAIDILAO INTERNATIONAL HOLDING LTD","Consumer Discretionary","Equity","8,084,538.08","0.03","8,084,538.08","4,541,000.00","1.78","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6415","SILERGY CORP","Information Technology","Equity","8,034,675.29","0.03","8,034,675.29","837,000.00","9.60","Taiwan","Taiwan Stock Exchange","TWD"
"PAGEIND","PAGE INDUSTRIES LTD","Consumer Discretionary","Equity","8,030,898.43","0.03","8,030,898.43","15,804.00","508.16","India","National Stock Exchange Of India","INR"
"YTLPOWR","YTL POWER INTERNATIONAL","Utilities","Equity","7,998,896.62","0.03","7,998,896.62","8,385,940.00","0.95","Malaysia","Bursa Malaysia","MYR"
"CDB","CELCOMDIGI","Communication","Equity","7,997,315.03","0.03","7,997,315.03","9,181,700.00","0.87","Malaysia","Bursa Malaysia","MYR"
"POWERINDIA","HITACHI ENERGY INDIA LTD","Industrials","Equity","7,984,734.46","0.03","7,984,734.46","37,180.00","214.76","India","National Stock Exchange Of India","INR"
"SIEMENS","SIEMENS LTD","Industrials","Equity","7,927,852.22","0.03","7,927,852.22","222,768.00","35.59","India","National Stock Exchange Of India","INR"
"JKCEMENT","J.K. CEMENT LTD","Materials","Equity","7,924,943.07","0.03","7,924,943.07","98,902.00","80.13","India","National Stock Exchange Of India","INR"
"1519","J&T GLOBAL EXPRESS LTD","Industrials","Equity","7,909,188.14","0.03","7,909,188.14","6,111,200.00","1.29","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GOTO","GOTO GOJEK TOKOPEDIA","Consumer Discretionary","Equity","7,876,707.76","0.03","7,876,707.76","2,229,244,100.00","0.00","Indonesia","Indonesia Stock Exchange","IDR"
"1833","PING AN HEALTHCARE AND TECHNOLOGY","Consumer Staples","Equity","7,868,641.98","0.03","7,868,641.98","2,827,000.00","2.78","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2385","CHICONY ELECTRONICS LTD","Information Technology","Equity","7,865,286.79","0.03","7,865,286.79","1,777,787.00","4.42","Taiwan","Taiwan Stock Exchange","TWD"
"8210","BUPA ARABIA","Financials","Equity","7,847,703.33","0.03","7,847,703.33","200,745.00","39.09","Saudi Arabia","Saudi Stock Exchange","SAR"
"323410","KAKAOBANK CORP","Financials","Equity","7,847,917.44","0.03","7,847,917.44","456,621.00","17.19","Korea (South)","Korea Exchange (Stock Market)","KRW"
"425","MINTH GROUP LTD","Consumer Discretionary","Equity","7,837,747.64","0.03","7,837,747.64","2,018,000.00","3.88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SBID","STATE BANK OF INDIA REG S INDIA GD","Financials","Equity","7,822,920.60","0.03","7,822,920.60","85,217.00","91.80","India","London Stock Exchange","USD"
"384","CHINA GAS HOLDINGS LTD","Utilities","Equity","7,811,650.22","0.03","7,811,650.22","7,878,600.00","0.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ADNOCDIST","ABU DHABI NATIONAL OIL COMPANY FOR","Consumer Discretionary","Equity","7,811,681.78","0.03","7,811,681.78","7,775,693.00","1.00","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Consumer Staples","Equity","7,809,877.42","0.03","7,809,877.42","4,131,201.00","1.89","Mexico","Bolsa Mexicana De Valores","MXN"
"LREN3","LOJAS RENNER SA","Consumer Discretionary","Equity","7,774,276.36","0.03","7,774,276.36","2,604,598.00","2.98","Brazil","XBSP","BRL"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Industrials","Equity","7,764,550.48","0.03","7,764,550.48","615,035.00","12.62","Mexico","Bolsa Mexicana De Valores","MXN"
"2812","TAICHUNG COMMERCIAL BANK LTD","Financials","Equity","7,756,032.49","0.03","7,756,032.49","11,126,183.00","0.70","Taiwan","Taiwan Stock Exchange","TWD"
"6239","POWERTECH TECHNOLOGY INC","Information Technology","Equity","7,747,608.32","0.03","7,747,608.32","1,994,000.00","3.89","Taiwan","Taiwan Stock Exchange","TWD"
"ORDS","OOREDOO","Communication","Equity","7,729,374.92","0.03","7,729,374.92","2,178,224.00","3.55","Qatar","Qatar Exchange","QAR"
"EXX","EXXARO RESOURCES LTD","Energy","Equity","7,719,194.48","0.03","7,719,194.48","722,404.00","10.69","South Africa","Johannesburg Stock Exchange","ZAR"
"ZYDUSLIFE","ZYDUS LIFESCIENCES LTD","Health Care","Equity","7,707,945.06","0.03","7,707,945.06","685,990.00","11.24","India","National Stock Exchange Of India","INR"
"SALIK","SALIK COMPANY P.J.S.C","Industrials","Equity","7,687,107.27","0.03","7,687,107.27","4,350,500.00","1.77","United Arab Emirates","Dubai Financial Market","AED"
"BANKBARODA","BANK OF BARODA LTD","Financials","Equity","7,680,152.15","0.03","7,680,152.15","2,889,681.00","2.66","India","National Stock Exchange Of India","INR"
"002475","LUXSHARE PRECISION INDUSTRY LTD A","Information Technology","Equity","7,667,885.44","0.03","7,667,885.44","1,208,433.00","6.35","China","Shenzhen Stock Exchange","CNY"
"322","TINGYI (CAYMAN ISLANDS) HOLDINGS C","Consumer Staples","Equity","7,650,832.13","0.03","7,650,832.13","5,340,000.00","1.43","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"KEI","KEI INDUSTRIES LTD","Industrials","Equity","7,564,560.57","0.03","7,564,560.57","170,192.00","44.45","India","National Stock Exchange Of India","INR"
